ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1998, 6)",-0.04668090373756497,10,meeting minutes,,UST,19,111,1 Mo,y_bl,-0.011482170715442658
"(1998, 6)",-0.04668090373756497,10,meeting minutes,,UST,19,111,1 Mo,y_probe,-0.0167680375887421
"(1998, 7)",-0.0035461030067485133,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,81,1 Mo,y_bl,-0.14135468296489515
"(1998, 7)",-0.0035461030067485133,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,81,1 Mo,y_probe,0.0035953541265581384
"(1998, 8)",-0.012511333889107634,10,meeting minutes,,UST,19,81,1 Mo,y_bl,-0.007873218903698534
"(1998, 8)",-0.012511333889107634,10,meeting minutes,,UST,19,81,1 Mo,y_probe,0.005308867574085217
"(1998, 9)",-0.07660139358684652,10,meeting minutes,,UST,19,80,1 Mo,y_bl,-0.001991400928437026
"(1998, 9)",-0.07660139358684652,10,meeting minutes,,UST,19,80,1 Mo,y_probe,-0.0021697922811862386
"(1998, 10)",-0.06001800972625157,10,speech,Governor Laurence H. Meyer,UST,19,100,1 Mo,y_bl,-0.158998915891228
"(1998, 10)",-0.06001800972625157,10,speech,Governor Laurence H. Meyer,UST,19,100,1 Mo,y_probe,0.0033199188672722556
"(1998, 11)",0.0849473927687769,10,meeting minutes,,UST,19,82,1 Mo,y_bl,0.0010150782312556821
"(1998, 11)",0.0849473927687769,10,meeting minutes,,UST,19,82,1 Mo,y_probe,0.00976764116132352
"(1998, 12)",-0.040585280115076276,10,meeting minutes,,UST,19,72,1 Mo,y_bl,-0.009688811134951686
"(1998, 12)",-0.040585280115076276,10,meeting minutes,,UST,19,72,1 Mo,y_probe,-0.008302340240476262
"(1999, 1)",1.1102230246251565e-15,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,51,1 Mo,y_bl,-0.0799136111625334
"(1999, 1)",1.1102230246251565e-15,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,51,1 Mo,y_probe,-0.006085257836814806
"(1999, 2)",0.05474812420961815,10,meeting minutes,,UST,19,89,1 Mo,y_bl,-0.0017675408496148274
"(1999, 2)",0.05474812420961815,10,speech,Governor Laurence H. Meyer,UST,19,98,1 Mo,y_bl,-0.0017675408496148274
"(1999, 2)",0.05474812420961815,10,meeting minutes,,UST,19,89,1 Mo,y_probe,0.007684402308778437
"(1999, 2)",0.05474812420961815,10,speech,Governor Laurence H. Meyer,UST,19,98,1 Mo,y_probe,0.003805217295958714
"(1999, 3)",0.053120666833562424,10,meeting minutes,,UST,19,80,1 Mo,y_bl,0.00018057926324293236
"(1999, 3)",0.053120666833562424,10,meeting minutes,,UST,19,80,1 Mo,y_probe,0.014700089916853737
"(1999, 4)",-0.026907452919922914,10,speech,Governor Laurence H. Meyer,UST,19,99,1 Mo,y_bl,-0.012373824172068545
"(1999, 4)",-0.026907452919922914,10,speech,Governor Laurence H. Meyer,UST,19,99,1 Mo,y_probe,0.0009114756343705032
"(1999, 5)",0.06695276507976004,10,meeting minutes,,UST,19,72,1 Mo,y_bl,-0.03158333277740172
"(1999, 5)",0.06695276507976004,10,speech,Vice Chair Alice M. Rivlin,UST,19,41,1 Mo,y_bl,-0.03158333277740172
"(1999, 5)",0.06695276507976004,10,meeting minutes,,UST,19,72,1 Mo,y_probe,-0.0017104897294495218
"(1999, 5)",0.06695276507976004,10,speech,Vice Chair Alice M. Rivlin,UST,19,41,1 Mo,y_probe,0.02400068036053569
"(1999, 6)",0.03216596607141805,10,meeting minutes,,UST,19,112,1 Mo,y_bl,-0.019563811977280805
"(1999, 6)",0.03216596607141805,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,56,1 Mo,y_bl,-0.019563811977280805
"(1999, 6)",0.03216596607141805,10,meeting minutes,,UST,19,112,1 Mo,y_probe,0.007323358731951529
"(1999, 6)",0.03216596607141805,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,56,1 Mo,y_probe,0.019264735785828848
"(1999, 8)",-0.019779640378038456,10,meeting minutes,,UST,19,82,1 Mo,y_bl,-0.0005384175161014423
"(1999, 8)",-0.019779640378038456,10,speech,Chairman Alan Greenspan,UST,19,28,1 Mo,y_bl,-0.0005384175161014423
"(1999, 8)",-0.019779640378038456,10,meeting minutes,,UST,19,82,1 Mo,y_probe,0.03459610269084455
"(1999, 8)",-0.019779640378038456,10,speech,Chairman Alan Greenspan,UST,19,28,1 Mo,y_probe,0.0008284333681365148
"(1999, 9)",0.0194344956360475,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_bl,-0.008769583629015244
"(1999, 9)",0.0194344956360475,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,79,1 Mo,y_bl,-0.008769583629015244
"(1999, 9)",0.0194344956360475,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_probe,0.017621836305773044
"(1999, 9)",0.0194344956360475,10,speech,"Governor Roger W. Ferguson, Jr.",UST,19,79,1 Mo,y_probe,0.004900777781275108
"(1999, 10)",0.02057987619904039,10,meeting minutes,,UST,19,76,1 Mo,y_bl,-0.004330770115019462
"(1999, 10)",0.02057987619904039,10,speech,Chairman Alan Greenspan,UST,19,53,1 Mo,y_bl,-0.004330770115019462
"(1999, 10)",0.02057987619904039,10,speech,Governor Laurence H. Meyer,UST,19,229,1 Mo,y_bl,-0.004330770115019462
