ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1998, 11)",0.0782007473074735,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_bl,-0.0017993534121205322
"(1998, 11)",0.0782007473074735,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_probe,-0.004949407923974619
"(1998, 12)",0.008810629682155513,train,10,1,meeting minutes,,UST,5,72,1 Yr,y_bl,-0.035102350716593116
"(1998, 12)",0.008810629682155513,train,10,1,meeting minutes,,UST,5,72,1 Yr,y_probe,-0.006996933730995287
"(1999, 1)",-0.022173857494322435,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,51,1 Yr,y_bl,0.021476881938614675
"(1999, 1)",-0.022173857494322435,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,51,1 Yr,y_probe,0.00969541811212195
"(1999, 2)",0.058685934812218635,train,10,1,meeting minutes,,UST,5,89,1 Yr,y_bl,0.011764749331239483
"(1999, 2)",0.058685934812218635,train,10,1,speech,Governor Laurence H. Meyer,UST,5,98,1 Yr,y_bl,0.011764749331239483
"(1999, 2)",0.058685934812218635,train,10,1,meeting minutes,,UST,5,89,1 Yr,y_probe,-0.007520838208200201
"(1999, 2)",0.058685934812218635,train,10,1,speech,Governor Laurence H. Meyer,UST,5,98,1 Yr,y_probe,0.013613819681091176
"(1999, 3)",-0.0024329122630024624,train,10,1,meeting minutes,,UST,5,80,1 Yr,y_bl,-0.07139384578007976
"(1999, 3)",-0.0024329122630024624,train,10,1,meeting minutes,,UST,5,80,1 Yr,y_probe,-0.009047192672919611
"(1999, 4)",-0.014941579998200671,train,10,1,speech,Governor Laurence H. Meyer,UST,5,99,1 Yr,y_bl,-0.03986646025711807
"(1999, 4)",-0.014941579998200671,train,10,1,speech,Governor Laurence H. Meyer,UST,5,99,1 Yr,y_probe,0.004666346982570421
"(1999, 5)",0.04368272319907464,train,10,1,meeting minutes,,UST,5,72,1 Yr,y_bl,-7.80440314161368e-5
"(1999, 5)",0.04368272319907464,train,10,1,speech,Vice Chair Alice M. Rivlin,UST,5,41,1 Yr,y_bl,-7.80440314161368e-5
"(1999, 5)",0.04368272319907464,train,10,1,meeting minutes,,UST,5,72,1 Yr,y_probe,-0.002479408643921388
"(1999, 5)",0.04368272319907464,train,10,1,speech,Vice Chair Alice M. Rivlin,UST,5,41,1 Yr,y_probe,0.010493269187718032
"(1999, 6)",0.059591271046068976,train,10,1,meeting minutes,,UST,5,112,1 Yr,y_bl,-0.02020150919109044
"(1999, 6)",0.059591271046068976,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,56,1 Yr,y_bl,-0.02020150919109044
"(1999, 6)",0.059591271046068976,train,10,1,meeting minutes,,UST,5,112,1 Yr,y_probe,0.0016469627678874308
"(1999, 6)",0.059591271046068976,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,56,1 Yr,y_probe,0.010719148165660611
"(1999, 8)",0.007446138333835049,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_bl,-0.015784447713545053
"(1999, 8)",0.007446138333835049,train,10,1,speech,Chairman Alan Greenspan,UST,5,28,1 Yr,y_bl,-0.015784447713545053
"(1999, 8)",0.007446138333835049,train,10,1,meeting minutes,,UST,5,82,1 Yr,y_probe,-0.003855729750918966
"(1999, 8)",0.007446138333835049,train,10,1,speech,Chairman Alan Greenspan,UST,5,28,1 Yr,y_probe,0.01526684741835412
"(1999, 9)",0.016510636747734682,train,10,1,speech,Governor Laurence H. Meyer,UST,5,135,1 Yr,y_bl,0.012226854670267191
"(1999, 9)",0.016510636747734682,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,79,1 Yr,y_bl,0.012226854670267191
"(1999, 9)",0.016510636747734682,train,10,1,speech,Governor Laurence H. Meyer,UST,5,135,1 Yr,y_probe,0.015481879160315636
"(1999, 9)",0.016510636747734682,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,79,1 Yr,y_probe,0.014151108678299685
"(1999, 10)",0.019440247718804957,train,10,1,meeting minutes,,UST,5,76,1 Yr,y_bl,0.0025497593395692585
"(1999, 10)",0.019440247718804957,train,10,1,speech,Chairman Alan Greenspan,UST,5,53,1 Yr,y_bl,0.0025497593395692585
"(1999, 10)",0.019440247718804957,train,10,1,speech,Governor Laurence H. Meyer,UST,5,229,1 Yr,y_bl,0.0025497593395692585
"(1999, 10)",0.019440247718804957,train,10,1,meeting minutes,,UST,5,76,1 Yr,y_probe,0.00028876748436688514
"(1999, 10)",0.019440247718804957,train,10,1,speech,Chairman Alan Greenspan,UST,5,53,1 Yr,y_probe,0.012757996704792331
"(1999, 10)",0.019440247718804957,train,10,1,speech,Governor Laurence H. Meyer,UST,5,229,1 Yr,y_probe,0.005381312265014596
"(1999, 11)",0.026782170236214684,train,10,1,meeting minutes,,UST,5,79,1 Yr,y_bl,-0.0034782837588348526
"(1999, 11)",0.026782170236214684,train,10,1,speech,Chairman Alan Greenspan,UST,5,23,1 Yr,y_bl,-0.0034782837588348526
"(1999, 11)",0.026782170236214684,train,10,1,meeting minutes,,UST,5,79,1 Yr,y_probe,0.002917563987087754
"(1999, 11)",0.026782170236214684,train,10,1,speech,Chairman Alan Greenspan,UST,5,23,1 Yr,y_probe,0.003810095887106369
"(1999, 12)",0.0762046025075068,train,10,1,meeting minutes,,UST,5,72,1 Yr,y_bl,0.0020886789242891774
"(1999, 12)",0.0762046025075068,train,10,1,meeting minutes,,UST,5,72,1 Yr,y_probe,-0.006334686743131863
"(2000, 1)",0.023210680814978173,train,10,1,speech,Governor Edward M. Gramlich,UST,5,161,1 Yr,y_bl,0.016504105926253912
"(2000, 1)",0.023210680814978173,train,10,1,speech,Governor Laurence H. Meyer,UST,5,83,1 Yr,y_bl,0.016504105926253912
"(2000, 1)",0.023210680814978173,train,10,1,speech,Governor Edward M. Gramlich,UST,5,161,1 Yr,y_probe,0.010712943750686923
"(2000, 1)",0.023210680814978173,train,10,1,speech,Governor Laurence H. Meyer,UST,5,83,1 Yr,y_probe,0.010453521858936833
"(2000, 2)",0.023130187416580503,train,10,1,meeting minutes,,UST,5,98,1 Yr,y_bl,0.014655801056725426
"(2000, 2)",0.023130187416580503,train,10,1,speech,Governor Laurence H. Meyer,UST,5,77,1 Yr,y_bl,0.014655801056725426
"(2000, 2)",0.023130187416580503,train,10,1,meeting minutes,,UST,5,98,1 Yr,y_probe,-0.00035724336413516265
"(2000, 2)",0.023130187416580503,train,10,1,speech,Governor Laurence H. Meyer,UST,5,77,1 Yr,y_probe,0.0040306503038821185
"(2000, 3)",-0.011835051273666455,train,10,1,meeting minutes,,UST,5,62,1 Yr,y_bl,0.011780412295233383
"(2000, 3)",-0.011835051273666455,train,10,1,speech,Governor Laurence H. Meyer,UST,5,84,1 Yr,y_bl,0.011780412295233383
"(2000, 3)",-0.011835051273666455,train,10,1,meeting minutes,,UST,5,62,1 Yr,y_probe,-0.008796377606673355
"(2000, 3)",-0.011835051273666455,train,10,1,speech,Governor Laurence H. Meyer,UST,5,84,1 Yr,y_probe,-0.0005600764626773159
"(2000, 4)",-0.001802395517196071,train,10,1,speech,Chairman Alan Greenspan,UST,5,22,1 Yr,y_bl,0.0025841233725341093
"(2000, 4)",-0.001802395517196071,train,10,1,speech,Governor Laurence H. Meyer,UST,5,135,1 Yr,y_bl,0.0025841233725341093
"(2000, 4)",-0.001802395517196071,train,10,1,speech,Chairman Alan Greenspan,UST,5,22,1 Yr,y_probe,0.017021120821860778
"(2000, 4)",-0.001802395517196071,train,10,1,speech,Governor Laurence H. Meyer,UST,5,135,1 Yr,y_probe,0.014074118779318677
"(2000, 5)",0.041502836966219814,train,10,1,meeting minutes,,UST,5,67,1 Yr,y_bl,0.01519475981906205
"(2000, 5)",0.041502836966219814,train,10,1,meeting minutes,,UST,5,67,1 Yr,y_probe,-0.0031779242742942357
"(2000, 6)",-0.03552909001841963,train,10,1,meeting minutes,,UST,5,74,1 Yr,y_bl,0.018074566710358828
"(2000, 6)",-0.03552909001841963,train,10,1,speech,Governor Laurence H. Meyer,UST,5,142,1 Yr,y_bl,0.018074566710358828
"(2000, 6)",-0.03552909001841963,train,10,1,meeting minutes,,UST,5,74,1 Yr,y_probe,-0.006788446779504625
"(2000, 6)",-0.03552909001841963,train,10,1,speech,Governor Laurence H. Meyer,UST,5,142,1 Yr,y_probe,0.019721907803723526
"(2000, 8)",-0.0009254975209473937,train,10,1,meeting minutes,,UST,5,78,1 Yr,y_bl,0.024584352627011426
"(2000, 8)",-0.0009254975209473937,train,10,1,meeting minutes,,UST,5,78,1 Yr,y_probe,-0.009824134640920641
"(2000, 10)",-0.036394306911047246,train,10,1,meeting minutes,,UST,5,65,1 Yr,y_bl,0.023437251622337122
"(2000, 10)",-0.036394306911047246,train,10,1,speech,Chairman Alan Greenspan,UST,5,57,1 Yr,y_bl,0.023437251622337122
"(2000, 10)",-0.036394306911047246,train,10,1,speech,Governor Laurence H. Meyer,UST,5,346,1 Yr,y_bl,0.023437251622337122
"(2000, 10)",-0.036394306911047246,train,10,1,meeting minutes,,UST,5,65,1 Yr,y_probe,-0.011426818467731407
"(2000, 10)",-0.036394306911047246,train,10,1,speech,Chairman Alan Greenspan,UST,5,57,1 Yr,y_probe,0.01962248887441505
"(2000, 10)",-0.036394306911047246,train,10,1,speech,Governor Laurence H. Meyer,UST,5,346,1 Yr,y_probe,0.005173665357345256
"(2000, 11)",0.020114781938236792,train,10,1,meeting minutes,,UST,5,77,1 Yr,y_bl,-0.006561144553709841
"(2000, 11)",0.020114781938236792,train,10,1,meeting minutes,,UST,5,77,1 Yr,y_probe,-0.008817805333949803
"(2000, 12)",-0.07780354980916829,train,10,1,meeting minutes,,UST,5,70,1 Yr,y_bl,0.008602983275021677
"(2000, 12)",-0.07780354980916829,train,10,1,speech,Chairman Alan Greenspan,UST,5,1,1 Yr,y_bl,0.008602983275021677
"(2000, 12)",-0.07780354980916829,train,10,1,speech,"Vice Chairman Roger W. Ferguson, Jr.",UST,5,57,1 Yr,y_bl,0.008602983275021677
