ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1999, 6)",0.0,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,56,,y_probe,0.0028281169334952285
"(1999, 8)",0.0066046472448046956,meeting minutes,,CPI,6,82,,y_bl,0.0023049249563127966
"(1999, 8)",0.0066046472448046956,speech,Chairman Alan Greenspan,CPI,6,28,,y_bl,0.0023049249563127966
"(1999, 8)",0.0066046472448046956,meeting minutes,,CPI,6,82,,y_probe,0.0025063278210842076
"(1999, 8)",0.0066046472448046956,speech,Chairman Alan Greenspan,CPI,6,28,,y_probe,0.0029713137877511874
"(1999, 9)",0.004180358431757902,speech,Governor Laurence H. Meyer,CPI,6,135,,y_bl,0.0029068481928341524
"(1999, 9)",0.004180358431757902,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,79,,y_bl,0.0029068481928341524
"(1999, 9)",0.004180358431757902,speech,Governor Laurence H. Meyer,CPI,6,135,,y_probe,0.0028282033201659238
"(1999, 9)",0.004180358431757902,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,79,,y_probe,0.0027464429324580084
"(1999, 10)",0.0017862463814637408,meeting minutes,,CPI,6,76,,y_bl,0.0034422890802832174
"(1999, 10)",0.0017862463814637408,speech,Chairman Alan Greenspan,CPI,6,53,,y_bl,0.0034422890802832174
"(1999, 10)",0.0017862463814637408,speech,Governor Laurence H. Meyer,CPI,6,229,,y_bl,0.0034422890802832174
"(1999, 10)",0.0017862463814637408,meeting minutes,,CPI,6,76,,y_probe,0.002351240784535263
"(1999, 10)",0.0017862463814637408,speech,Chairman Alan Greenspan,CPI,6,53,,y_probe,0.0026309755030205747
"(1999, 10)",0.0017862463814637408,speech,Governor Laurence H. Meyer,CPI,6,229,,y_probe,0.0021582894194392605
"(1999, 11)",0.001783061393656027,meeting minutes,,CPI,6,79,,y_bl,0.0027620875183606377
"(1999, 11)",0.001783061393656027,speech,Chairman Alan Greenspan,CPI,6,23,,y_bl,0.0027620875183606377
"(1999, 11)",0.001783061393656027,meeting minutes,,CPI,6,79,,y_probe,0.002486489662928092
"(1999, 11)",0.001783061393656027,speech,Chairman Alan Greenspan,CPI,6,23,,y_probe,0.0027099846226981195
"(1999, 12)",0.0023724803536309125,meeting minutes,,CPI,6,72,,y_bl,0.0012316238618659038
"(1999, 12)",0.0023724803536309125,meeting minutes,,CPI,6,72,,y_probe,0.0024035431443510634
"(2000, 1)",0.0029577069772326325,speech,Governor Edward M. Gramlich,CPI,6,161,,y_bl,0.002731216365706818
"(2000, 1)",0.0029577069772326325,speech,Governor Laurence H. Meyer,CPI,6,83,,y_bl,0.002731216365706818
"(2000, 1)",0.0029577069772326325,speech,Governor Edward M. Gramlich,CPI,6,161,,y_probe,0.002441171870544987
"(2000, 1)",0.0029577069772326325,speech,Governor Laurence H. Meyer,CPI,6,83,,y_probe,0.0029616960124180503
"(2000, 2)",0.004126147911172495,meeting minutes,,CPI,6,98,,y_bl,0.0030393609257920095
