indicator,maturity,layer,split,n_pc,variable,model,value,std
PPI,,13,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,13,test,128,cor,y_probe,0.1562954749969593,0.06138144364748849
PPI,,13,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,13,test,128,mse,y_probe,0.0002746024756498937,6.700089026300263e-5
PPI,,13,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,13,test,128,rmse,y_probe,0.016471309297142203,0.0020305312383002484
PPI,,13,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,13,test,,cor,y_probe,0.16638600709723686,0.08049799358820783
PPI,,13,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,13,test,,mse,y_probe,0.0002756930329926844,6.449524576558509e-5
PPI,,13,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,13,test,,rmse,y_probe,0.01651155820172044,0.0019562332248107533
PPI,,13,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,13,train,128,cor,y_probe,0.260006828966039,0.0147087199993201
PPI,,13,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,13,train,128,mse,y_probe,0.0001815699116460143,5.417275452485657e-6
PPI,,13,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,13,train,128,rmse,y_probe,0.013473600361910915,0.00020001541668210237
PPI,,13,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,13,train,,cor,y_probe,0.5798315055594154,0.009561988484818578
PPI,,13,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,13,train,,mse,y_probe,0.00016418931072316453,3.8020878123955502e-6
PPI,,13,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,13,train,,rmse,y_probe,0.012812954354051326,0.00014795034708361843
PPI,,14,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,14,test,128,cor,y_probe,0.17538523602310357,0.09009466254637359
PPI,,14,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,14,test,128,mse,y_probe,0.0002744250723662607,6.686567270205112e-5
PPI,,14,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,14,test,128,rmse,y_probe,0.016466164510241733,0.002028083666887393
PPI,,14,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,14,test,,cor,y_probe,0.18265258722209693,0.08695088963260388
PPI,,14,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,14,test,,mse,y_probe,0.0002750399287218011,6.468869053547888e-5
PPI,,14,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,14,test,,rmse,y_probe,0.01649103930154742,0.001963909199982108
PPI,,14,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,14,train,128,cor,y_probe,0.28428083632822126,0.019489637717490155
PPI,,14,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,14,train,128,mse,y_probe,0.00018061466633525195,5.383532887029684e-6
PPI,,14,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,14,train,128,rmse,y_probe,0.013438113868569945,0.0001992548324382289
PPI,,14,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,14,train,,cor,y_probe,0.5744455662043243,0.010694197656459131
PPI,,14,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,14,train,,mse,y_probe,0.00016337247637322202,3.7552936594451114e-6
PPI,,14,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,14,train,,rmse,y_probe,0.012781052926605377,0.00014646868493881557
PPI,,15,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,15,test,128,cor,y_probe,0.2501098620207253,0.05414588666451013
PPI,,15,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,15,test,128,mse,y_probe,0.0002743424433494124,6.613575128535853e-5
PPI,,15,test,128,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,15,test,128,rmse,y_probe,0.016465912240416127,0.0020050490768079425
PPI,,15,test,,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,15,test,,cor,y_probe,0.18627762331449038,0.10786291651990508
PPI,,15,test,,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
PPI,,15,test,,mse,y_probe,0.0002773306035740379,6.408642950797489e-5
PPI,,15,test,,rmse,y_bl,0.015016885514891509,0.0017229360808115259
PPI,,15,test,,rmse,y_probe,0.016562729135058397,0.001938622956097223
PPI,,15,train,128,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,15,train,128,cor,y_probe,0.3094671676927666,0.022788715678260088
PPI,,15,train,128,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,15,train,128,mse,y_probe,0.0001796295691566403,5.345766560348389e-6
PPI,,15,train,128,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,15,train,128,rmse,y_probe,0.013401420804276518,0.0001983985362370049
PPI,,15,train,,cor,y_bl,0.38580956903974295,0.0066503629394756335
PPI,,15,train,,cor,y_probe,0.5786132539305362,0.008514493870640131
PPI,,15,train,,mse,y_bl,0.00016022520636918553,4.565618080185256e-6
PPI,,15,train,,mse,y_probe,0.00016255373869657316,3.705527102765193e-6
PPI,,15,train,,rmse,y_bl,0.01265699024742677,0.0001795976257121848
PPI,,15,train,,rmse,y_probe,0.012748998277834192,0.000144834424231536
PPI,,16,test,128,cor,y_bl,0.42949863546960304,0.04905578099274694
PPI,,16,test,128,cor,y_probe,0.2444559344656259,0.06279301989065667
PPI,,16,test,128,mse,y_bl,0.00022788165755820814,5.2068866354738726e-5
